Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,32.5,37.2,27.9,0,1007.8,18,13,2
8/22/2022,34.9,38.4,31.3,0,1003.1,196,9,2
8/21/2022,34.2,39.4,29,0,1002.6,207,9,2
8/20/2022,34.3,39.6,29,0,1003.9,88,5,2
8/19/2022,34.8,39.7,29.8,0,1002.6,222,5,2
8/18/2022,34,39.7,28.3,0,1002,209,6,2
8/17/2022,33.8,39.3,28.3,0.2,1003.5,133,6,2
8/16/2022,33.5,38.6,28.5,0,1003.1,33,4,2
8/15/2022,33.5,38.5,28.4,0,1002.1,217,7,2
8/14/2022,33.5,38.5,28.4,0,1002.7,201,8,2
8/13/2022,33.6,38.5,28.7,0,1003.2,217,7,2
8/12/2022,33.1,38.4,27.8,0,1003.9,197,9,2
8/11/2022,33.3,38.8,27.8,0,1005,217,6,2
8/10/2022,33.7,39.1,28.3,0,1004.8,226,4,2
8/9/2022,33.7,39.1,28.3,0,1003.9,232,5,2
8/8/2022,34.5,38.5,30.5,0,1003.4,188,7,2
8/7/2022,33.5,37.5,29.4,0,1003.1,198,11,2
8/6/2022,33.3,37.8,28.8,0,1004.1,202,9,2
8/5/2022,33,38.1,28,0,1004.5,152,5,2
8/4/2022,33,38.4,27.6,0,1005.1,162,6,2
8/3/2022,32.5,38.4,26.6,4.5,1005.5,143,5,2
8/2/2022,31.7,37.8,25.6,0,1005.8,168,3,2
8/1/2022,30.6,36.5,24.7,0,1004.9,107,2,2
7/31/2022,30,35.3,24.7,0,1003.9,350,3,2
7/30/2022,29.5,34,25,0,1004.5,314,4,2
7/29/2022,29.8,33.9,25.6,0,1005.8,18,5,2
7/28/2022,32,37.3,26.8,0,1005.3,358,6,2
7/27/2022,30.1,37.3,22.9,0,1003.6,159,4,2
7/26/2022,29.9,36.8,22.9,0,1004,77,6,2
7/25/2022,29.6,36.8,22.3,14.6,1003.5,178,6,2
7/24/2022,28.8,35.2,22.3,0,1005.1,115,3,2
7/23/2022,30.4,36,24.7,1.2,1006.8,305,4,2
7/22/2022,30.7,36,25.4,0,1005.5,210,11,2
7/21/2022,29.1,34.1,24,0.1,1008.5,196,4,2
7/20/2022,29.1,34.1,24,31,1006.5,331,3,2
7/19/2022,30.8,35.8,25.7,87.3,1002.2,130,5,2
7/18/2022,30.8,35.8,25.7,0,1001.4,274,2,2
7/17/2022,31.4,36.3,26.6,0.2,1000.3,210,4,2
7/16/2022,33.5,37.1,30,42.9,999.4,212,9,2
7/15/2022,32.5,37.2,27.9,0,1000.5,202,9,2
7/14/2022,32.5,37.2,27.9,0,1001.6,202,9,2
7/13/2022,34,37.1,31,0,1001.7,195,9,2
7/12/2022,33.5,36.7,30.3,0,1001.7,197,10,2
7/11/2022,33.3,37,29.6,0,1002.5,188,9,2
7/10/2022,32.8,36.6,28.9,0,1001.7,195,12,2
7/9/2022,31.4,35.4,27.3,0,1001.6,188,7,2
7/8/2022,30.2,34.8,25.7,0,1003.1,185,7,2
7/7/2022,30.2,34.8,25.7,0,1004.6,161,5,2
7/6/2022,29.1,32.5,25.7,1.9,1002.3,288,4,2
7/5/2022,28.6,31.3,26,21.4,997.4,270,5,2
7/4/2022,30.6,35.2,26,27.5,999,62,8,2
7/3/2022,30.6,35.7,25.5,0,1001.2,96,6,2
7/2/2022,30.6,35.7,25.5,0,1003.5,112,7,2
7/1/2022,30.4,35.6,25.3,0,1004.9,104,5,2
6/30/2022,30.3,35.3,25.3,0,1004.1,139,5,2
6/29/2022,30.2,35.3,25.2,0,1001.5,154,7,2
6/28/2022,29.9,35.1,24.7,0,999.6,187,7,2
6/27/2022,29.9,35.1,24.7,115.2,999,230,13,2
6/26/2022,30.9,34.9,26.9,0,1000.5,192,15,2
6/25/2022,29.8,34.8,24.7,0,1000.8,192,11,2
6/24/2022,28.2,32.1,24.4,9.7,1002.3,189,8,2
6/23/2022,29.9,32.3,27.6,38.2,1002.9,192,8,2
6/22/2022,29.2,33.2,25.3,0,1002.5,190,12,2
6/21/2022,28.8,33.2,24.3,0,1000.3,162,4,2
6/20/2022,28.4,32.4,24.3,2.6,999.6,141,5,2
6/19/2022,27.6,31.3,23.9,22.2,1001.5,103,5,2
6/18/2022,28.8,33.7,23.9,2.7,1002.2,130,6,2
6/17/2022,29.1,35,23.1,0,1002.9,239,5,2
6/16/2022,28.3,35,21.6,0,1004.5,205,9,2
6/15/2022,28.3,35,21.6,0,1005.9,170,6,2
6/14/2022,26,32.2,19.8,0,1005.9,197,4,2
6/13/2022,24.9,30.1,19.8,0,1005.2,230,5,2
6/12/2022,26,30.9,21.1,9.3,1007,210,3,2
6/11/2022,28.2,32.8,23.6,2.6,1007.7,107,6,2
6/10/2022,28.6,32.8,24.3,0,1005.6,149,5,2
6/9/2022,29.1,35.1,23.2,0,1004.6,115,5,2
6/8/2022,29.1,35.1,23,0,1004.9,119,6,2
6/7/2022,28.4,35.1,21.7,0,1005.2,138,5,2
6/6/2022,28.2,34.8,21.7,0,1003.4,257,3,2
6/5/2022,27.9,31.7,24.2,0,1001.9,9,6,2
6/4/2022,27.5,30.4,24.6,44.7,1000,146,6,2
6/3/2022,26.6,30.4,22.7,14.1,1000.8,156,5,2
6/2/2022,25.8,28.8,22.7,0.3,1001.8,128,5,2
6/1/2022,27.9,32.2,23.5,0,1004.2,111,3,2
5/31/2022,27.1,32.2,22.1,9,1004.8,150,6,2
5/30/2022,26.9,31.8,21.9,0,1005.9,41,7,2
5/29/2022,25.1,30.2,19.9,0,1001.8,205,6,2
5/28/2022,23.2,27.1,19.4,0.6,1002.8,174,5,2
5/27/2022,23.9,28.5,19.4,5.2,1005.4,267,4,2
5/26/2022,25.1,30.7,19.6,0,1006.9,318,5,2
5/25/2022,25.1,30.7,19.6,9.5,1008.6,226,5,2
5/24/2022,24.4,30.7,18.2,0,1010,117,4,2
5/23/2022,23.6,28.9,18.2,0,1009.5,141,4,2
5/22/2022,21.5,27.6,15.4,0,1008.1,183,4,2
5/21/2022,21.5,27.6,15.4,0,1009.9,131,3,2
5/20/2022,20,23,17,0,1012,185,2,2
5/19/2022,20.8,25.8,15.7,8,1014.3,81,2,2
5/18/2022,19.9,27.4,12.3,2,1015.7,357,4,2
5/17/2022,19.4,27.4,11.5,0,1014.7,200,4,2
5/16/2022,18.5,25.5,11.5,0,1015.6,231,5,2
5/15/2022,17.9,21.9,13.8,0,1018.3,317,4,2
5/14/2022,18.8,23,14.6,3.1,1018,1,8,2
5/13/2022,21.2,25.3,17.1,0,1013.2,28,14,2
5/12/2022,20.4,25.3,15.6,0,1009.9,13,6,2
5/11/2022,18.8,24.1,13.5,0,1012.6,37,7,2
5/10/2022,16.9,20.3,13.5,0,1012.4,19,7,2
5/9/2022,21.9,28.5,15.4,1.6,1013.9,11,10,2
5/8/2022,24.5,30.2,18.8,0,1013.4,65,10,2
5/7/2022,24.9,33.1,16.6,0,1013.9,37,9,2
5/6/2022,24.2,33.1,15.3,0,1010.1,147,6,2
5/5/2022,22,31.1,12.9,0,1009.8,154,8,2
5/4/2022,20.8,29.9,11.6,0,1013.5,164,5,2
5/3/2022,19.8,28.3,11.3,0,1017.6,176,4,2
5/2/2022,18.6,25.8,11.3,0,1018.8,222,3,2
5/1/2022,17.2,21.6,12.9,0,1020.8,238,5,2
4/30/2022,14.8,18,11.7,2,1021.6,6,8,2
4/29/2022,15.2,19.2,11.2,0.1,1019.7,11,7,2
4/28/2022,19.5,27.8,11.2,22.6,1015.2,13,14,2
4/27/2022,24.1,29.4,18.9,0,1009.9,99,9,2
4/26/2022,24.6,29.4,19.7,45.2,1007.6,350,4,2
4/25/2022,23.9,30.7,17.1,0,1002.9,297,4,2
4/24/2022,23.9,30.7,17.1,68.4,1003.3,119,8,2
4/23/2022,22.2,28.2,16.2,0,1008.9,232,3,2
4/22/2022,20.5,28.2,12.8,31.1,1009.1,196,6,2
4/21/2022,20.1,28.2,11.9,0,1008,176,8,2
4/20/2022,18.9,25.9,11.9,0.3,1012,171,4,2
4/19/2022,19.1,25.9,12.3,0,1018.4,158,5,2
4/18/2022,16.2,22.6,9.9,0,1020.5,248,5,2
4/17/2022,13.9,17.9,9.9,0,1020.2,274,4,2
4/16/2022,14.4,17.9,11,0,1020.7,305,5,2
4/15/2022,14.7,17.4,11.9,5,1022,26,8,2
4/14/2022,16.1,20.2,11.9,0.4,1018.6,21,9,2
4/13/2022,20.1,26.6,13.6,2.3,1013.3,30,12,2
4/12/2022,25.2,32.1,18.3,52.1,1008.3,27,18,2
4/11/2022,24.5,32.1,16.9,0,1006.6,183,6,2
4/10/2022,23.1,31.6,14.5,0,1007.7,186,6,2
4/9/2022,22.2,31.6,12.9,0,1008.7,166,9,2
4/8/2022,21.1,30.7,11.5,0,1012.9,162,6,2
4/7/2022,20.5,29.5,11.5,0,1017.3,177,3,2
4/6/2022,19.3,27,11.6,0,1019.2,177,3,2
4/5/2022,18.2,23,13.5,0,1020.4,203,5,2
4/4/2022,15.3,23.1,7.5,0,1023.5,146,5,2
4/3/2022,15.1,23.1,7,0,1025.2,118,5,2
4/2/2022,14.1,21.2,7,0,1027.6,230,2,2
4/1/2022,14.4,17.7,11.2,0,1031.6,56,5,2
3/31/2022,17.7,22.3,13.1,8.9,1029.7,28,14,2
3/30/2022,18.1,23.4,12.9,7.2,1020.4,37,6,2
3/29/2022,15.3,23.4,7.3,0,1016.2,148,5,2
3/28/2022,14.4,21.5,7.3,0,1019.4,132,9,2
3/27/2022,14.8,20.3,9.3,0,1020.9,29,4,2
3/26/2022,12.2,15.2,9.3,0,1019.6,313,3,2
3/25/2022,11.8,16.8,6.8,12.6,1011.3,332,9,2
3/24/2022,11.6,16.8,6.3,54.5,1008.5,101,7,2
3/23/2022,8.8,11.4,6.3,0,1019.3,177,5,2
3/22/2022,7.2,8,6.3,1.2,1023.5,15,9,2
3/21/2022,6.8,7.4,6.1,50.6,1019.5,21,11,2
3/20/2022,9.8,13.5,6.1,9,1017.6,21,11,2
3/19/2022,10,13.5,6.5,0.3,1014.1,43,14,2
3/18/2022,8.7,10.8,6.5,0,1013.6,148,4,2
3/17/2022,16.6,26,7.2,1.7,1017.1,354,15,2
3/16/2022,20.4,27.3,13.6,67.2,1006.6,69,13,2
3/15/2022,20.4,27.3,13.6,0,1009.6,163,5,2
3/14/2022,23.1,28.9,17.4,0,1013.2,16,8,2
3/13/2022,22.1,29.1,15,0,1008.9,179,5,2
3/12/2022,20.3,29.1,11.5,0.6,1008.6,219,6,2
3/11/2022,19.4,28.4,10.5,0,1011.2,118,5,2
3/10/2022,16.9,26.3,7.6,0,1012.3,212,2,2
3/9/2022,15.7,24.9,6.4,0,1014.9,77,4,2
3/8/2022,14,22.3,5.7,0,1015.3,135,10,2
3/7/2022,11.3,17,5.7,0,1021.5,172,5,2
3/6/2022,16.3,23.5,9.1,6.8,1021.1,13,5,2
3/5/2022,16.3,23.5,9.1,0,1017,52,8,2
3/4/2022,14.9,23.2,6.6,0,1016.2,215,5,2
3/3/2022,12.3,21.7,2.9,5.2,1015.9,176,4,2
3/2/2022,11.2,19.5,2.9,0,1019.8,170,2,2
3/1/2022,12.3,17.7,6.9,0,1023.4,9,6,2
2/28/2022,10.8,19.2,2.4,0.2,1018.2,335,2,2
2/27/2022,10.5,19.2,1.8,0,1018.1,136,6,2
2/26/2022,8.5,18.5,-1.5,0,1023.9,228,3,2
2/25/2022,6.7,14.8,-1.5,0,1025.8,191,2,2
2/24/2022,5.8,12.9,-1.4,0,1030.7,146,5,2
2/23/2022,5.8,10.7,0.9,0,1034.1,100,4,2
2/22/2022,4.5,9.7,-0.8,0,1033.5,126,4,2
2/21/2022,3.4,9.2,-2.4,0,1032.1,329,2,2
2/20/2022,3.1,8.7,-2.4,0,1032.7,42,3,2
2/19/2022,3.2,5.6,0.9,0,1033.8,18,11,2
2/18/2022,2.4,3.9,0.9,2,1028.6,355,10,2
2/17/2022,5.5,9.7,1.3,6.8,1024.5,22,12,2
2/16/2022,7.4,10.9,3.9,0.8,1021.7,46,10,2
2/15/2022,4.7,10.9,-1.5,0,1023.4,59,5,2
2/14/2022,3.9,9.3,-1.5,0,1024.8,51,3,2
2/13/2022,6.6,8.8,4.4,0,1023.7,302,3,2
2/12/2022,5.9,8,3.8,0,1023.9,339,4,2
2/11/2022,2.1,6.5,-2.2,0,1023.9,320,2,2
2/10/2022,2.3,6.8,-2.2,0,1023.4,21,3,2
2/9/2022,3.9,6.8,1,0,1026,264,3,2
2/8/2022,2.2,4.6,-0.1,0.2,1029.2,18,4,2
2/7/2022,3.1,6.4,-0.1,8.9,1028.8,354,6,2
2/6/2022,3.9,10,-2.3,10.3,1027.8,29,8,2
2/5/2022,3.9,11.2,-3.4,0,1030.7,47,6,2
2/4/2022,3.9,11.2,-3.4,0,1030.2,342,4,2
2/3/2022,2.8,7.4,-1.9,0,1028.1,17,2,2
2/2/2022,5,8.6,1.4,0,1029.3,3,3,2
2/1/2022,4.3,8.6,0,2.1,1029.7,16,7,2
1/31/2022,3.2,7.5,-1.1,0,1028.1,8,4,2
1/30/2022,1.9,4.8,-1.1,0,1028.1,211,3,2
1/29/2022,1.5,2.6,0.4,1.9,1026,349,6,2
1/28/2022,1.9,3.5,0.4,6.1,1027.9,357,7,2
1/27/2022,4,5.1,2.9,6.9,1028.2,25,10,2
1/26/2022,4,5.4,2.7,8.7,1023.8,10,8,2
1/25/2022,3.9,5.4,2.4,10.9,1024.1,359,6,2
1/24/2022,3.4,4.4,2.4,0.8,1024.6,2,6,2
1/23/2022,3.5,4.3,2.7,12.1,1022.8,350,9,2
1/22/2022,4.8,6.2,3.5,21.7,1019.2,358,9,2
1/21/2022,6.2,10.9,1.5,4.8,1022.1,17,8,2
1/20/2022,7,14.5,-0.4,2,1024.1,39,10,2
1/19/2022,7,14.5,-0.6,0,1024.2,45,4,2
1/18/2022,6.8,14.3,-0.6,0,1025.1,265,2,2
1/17/2022,8.2,14.3,2,0,1028.3,11,5,2
1/16/2022,6.2,12.8,-0.4,0,1026.9,286,3,2
1/15/2022,5.4,11.2,-0.4,0,1025.3,296,3,2
1/14/2022,4.8,9.5,0.1,0.3,1024.3,358,3,2
1/13/2022,3.6,9.5,-2.2,0,1028.9,50,6,2
1/12/2022,4,10.3,-2.2,0,1026.8,287,5,2
1/11/2022,4.2,10.3,-2,0,1027,264,2,2
1/10/2022,5,8.8,1.2,0,1026.9,336,4,2
1/9/2022,5.8,8.8,2.8,0,1023.6,209,2,2
1/8/2022,6.8,9.2,4.5,0,1026.7,338,4,2
1/7/2022,6.5,9.2,3.7,0,1030,356,5,2
1/6/2022,5.7,7.7,3.7,0,1031.2,13,8,2
1/5/2022,7.2,10.5,3.8,0,1027.7,358,10,2
1/4/2022,7,15.6,-1.7,19.9,1022.5,7,9,2
1/3/2022,6.5,15.6,-2.5,0.3,1024,54,3,2
1/2/2022,5.6,13.7,-2.5,0,1026.7,36,2,2
1/1/2022,5.3,13.7,-3,0,1028.7,280,3,2
